,designer,collections,first_season,consistency,prevalence,class
1101,emma-mulholland,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1102,dressedundressed,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1103,h-m-design-award,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1104,schumacher,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1105,duncan,1,2022.1,0.3333333333333333,-0.6666666666666667,0
1106,wooyoungmi,1,2021.1,0.2,-0.8,0
1107,han,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1108,haryono-setiadi,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1109,conny-groenewegen,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1110,dimitri,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1111,dietrich-emter,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1112,diana-orving,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1113,designers-remix,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1114,day-birger-et-mikkelsen,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1115,hernandez-cornet,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1116,creative-taiwan,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1117,rhude,1,2021.1,0.2,-0.8,0
1118,cotoo,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1119,hien-le,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1120,augustin-teboul,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1121,krizia-top,1,2001.1,0.022222222222222223,-0.9777777777777777,0
1122,ariunaa-suri,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1123,loveshackfancy,1,2023.1,1.0,0.0,1
1124,who-decides-war,1,2023.0,0.5,-0.5,0
1125,jnby,1,2013.0,0.045454545454545456,-0.9545454545454546,0
1126,a-company,1,2023.1,1.0,0.0,1
1127,armarium,1,2023.1,1.0,0.0,1
1128,avavav,1,2023.1,1.0,0.0,1
1129,fashion-institute-of-technology,1,2023.1,1.0,0.0,1
1130,fforme,1,2023.1,1.0,0.0,1
1131,head-of-state,1,2023.1,1.0,0.0,1
1132,heliot-emil,1,2023.1,1.0,0.0,1
1133,j6,1,2023.1,1.0,0.0,1
1134,maccapani,1,2023.1,1.0,0.0,1
1135,araisara,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1136,marco-rambaldi,1,2023.1,1.0,0.0,1
1137,melbostad,1,2023.1,1.0,0.0,1
1138,moncler-genius,1,2023.1,1.0,0.0,1
1139,niccolo-pasqualetti,1,2023.1,1.0,0.0,1
1140,parsons-bfa,1,2023.1,1.0,0.0,1
1141,paula-canovas-del-vas,1,2023.1,1.0,0.0,1
1142,quira,1,2023.1,1.0,0.0,1
1143,rev,1,2023.1,1.0,0.0,1
1144,roisin-pierce,1,2023.1,1.0,0.0,1
1145,sinead-odwyer,1,2023.1,1.0,0.0,1
1146,stefan-cooke,1,2023.0,0.5,-0.5,0
1147,ne-net,1,2013.0,0.045454545454545456,-0.9545454545454546,0
1148,paolo-carzana,1,2023.0,0.5,-0.5,0
1149,nitz-schneider,1,2013.0,0.045454545454545456,-0.9545454545454546,0
1150,anne-sofie-madsen,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1151,anja-gockel,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1152,in-earnest,1,2022.1,0.3333333333333333,-0.6666666666666667,0
1153,altewaisaome,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1154,alice-mccall,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1155,alex-perry,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1156,aje,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1157,ato,1,2013.0,0.045454545454545456,-0.9545454545454546,0
1158,wc,1,2013.0,0.045454545454545456,-0.9545454545454546,0
1159,deceive,1,2013.0,0.045454545454545456,-0.9545454545454546,0
1160,joy-cioci,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1161,all-in,1,2023.0,0.5,-0.5,0
1162,shiroma,1,2013.0,0.045454545454545456,-0.9545454545454546,0
1163,etw-vonneguet,1,2013.0,0.045454545454545456,-0.9545454545454546,0
1164,romeo-gigli,1,1990.0,0.014705882352941176,-0.9852941176470589,0
1165,everlasting-sprout,1,2013.0,0.045454545454545456,-0.9545454545454546,0
1166,phenomenon,1,2013.0,0.045454545454545456,-0.9545454545454546,0
1167,fur-fur,1,2013.0,0.045454545454545456,-0.9545454545454546,0
1168,fe-noel,1,2023.0,0.5,-0.5,0
1169,filippa-k,1,2023.0,0.5,-0.5,0
1170,masha-popova,1,2023.0,0.5,-0.5,0
1171,johan-ku,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1172,stephan-pelger,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1173,dirk-bikkembergs,1,2012.1,0.043478260869565216,-0.9565217391304348,0
1174,karla-spetic,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1175,bella-freud,1,2000.1,0.02127659574468085,-0.9787234042553191,0
1176,discount-universe,1,2019.0,0.1,-0.9,0
1177,mary-ping,1,2006.0,0.027777777777777776,-0.9722222222222222,0
1178,project-alabama,1,2006.0,0.027777777777777776,-0.9722222222222222,0
1179,who-is-on-next,1,2006.0,0.027777777777777776,-0.9722222222222222,0
1180,handm-x-moschino,1,2019.0,0.1,-0.9,0
1181,carmen-marc-valvo,1,2007.1,0.030303030303030304,-0.9696969696969697,0
1182,devon-halfnight-leflufy,1,2016.0,0.0625,-0.9375,0
1183,peter-soronen,1,2007.1,0.030303030303030304,-0.9696969696969697,0
1184,susan-lazar,1,2000.0,0.020833333333333332,-0.9791666666666666,0
1185,berardi,1,2008.0,0.03125,-0.96875,0
1186,naoki-takizawa,1,2008.0,0.03125,-0.96875,0
1187,rebecca-danenberg,1,2000.0,0.020833333333333332,-0.9791666666666666,0
1188,krystof-strozyna,1,2008.1,0.03225806451612903,-0.967741935483871,0
1189,nyc-2000,1,2000.0,0.020833333333333332,-0.9791666666666666,0
1190,matt-nye,1,2000.0,0.020833333333333332,-0.9791666666666666,0
1191,sss-world-corp,1,2019.0,0.1,-0.9,0
1192,modernist,1,2009.0,0.03333333333333333,-0.9666666666666667,0
1193,rock-republic,1,2009.0,0.03333333333333333,-0.9666666666666667,0
1194,alchemist,1,2019.1,0.1111111111111111,-0.8888888888888888,0
1195,nasir-mazhar,1,2015.0,0.05555555555555555,-0.9444444444444444,0
1196,lulu-co,1,2015.0,0.05555555555555555,-0.9444444444444444,0
1197,hutson,1,2009.1,0.034482758620689655,-0.9655172413793104,0
1198,io-ipse-idem,1,2009.1,0.034482758620689655,-0.9655172413793104,0
1199,lp-bg,1,2010.0,0.03571428571428571,-0.9642857142857143,0
1200,maison-mayle,1,2016.1,0.06666666666666667,-0.9333333333333333,0
1201,rr331,1,2016.1,0.06666666666666667,-0.9333333333333333,0
1202,c-neeon,1,2006.0,0.027777777777777776,-0.9722222222222222,0
1203,noa-raviv,1,2017.1,0.07692307692307693,-0.9230769230769231,0
1204,prism,1,2018.0,0.08333333333333333,-0.9166666666666666,0
1205,shelley-fox,1,2001.1,0.022222222222222223,-0.9777777777777777,0
1206,an-american-view,1,2002.0,0.022727272727272728,-0.9772727272727273,0
1207,joe-casely-hayford,1,2002.0,0.022727272727272728,-0.9772727272727273,0
1208,icarius-de-menezes,1,2001.1,0.022222222222222223,-0.9777777777777777,0
1209,house-of-jazz,1,2002.1,0.023255813953488372,-0.9767441860465116,0
1210,michelle-loweholder,1,2002.1,0.023255813953488372,-0.9767441860465116,0
1211,sally-penn,1,2001.0,0.021739130434782608,-0.9782608695652174,0
1212,lizzy-disney,1,2001.0,0.021739130434782608,-0.9782608695652174,0
1213,callaghan,1,2001.0,0.021739130434782608,-0.9782608695652174,0
1214,m-r-s-,1,2003.0,0.023809523809523808,-0.9761904761904762,0
1215,tyler,1,2003.0,0.023809523809523808,-0.9761904761904762,0
1216,riccardo-tisci,1,2005.1,0.02702702702702703,-0.972972972972973,0
1217,kim-jones,1,2004.0,0.025,-0.975,0
1218,cher-michel-klein,1,2004.1,0.02564102564102564,-0.9743589743589743,0
1219,london-roundup,1,2004.1,0.02564102564102564,-0.9743589743589743,0
1220,teatum-jones,1,2017.0,0.07142857142857142,-0.9285714285714286,0
1221,scotch-and-soda,1,2017.0,0.07142857142857142,-0.9285714285714286,0
1222,mark-eisen,1,2000.1,0.02127659574468085,-0.9787234042553191,0
1223,alistair-carr,1,2005.0,0.02631578947368421,-0.9736842105263158,0
1224,buddhist-punk,1,2005.0,0.02631578947368421,-0.9736842105263158,0
1225,charlotte-olympia,1,2017.0,0.07142857142857142,-0.9285714285714286,0
1226,habitual,1,2005.1,0.02702702702702703,-0.972972972972973,0
1227,nina-donis,1,2005.1,0.02702702702702703,-0.972972972972973,0
1228,generra,1,2010.1,0.037037037037037035,-0.962962962962963,0
1229,a-a-antonio-azzuolo,1,2015.0,0.05555555555555555,-0.9444444444444444,0
1230,paris-68,1,2010.1,0.037037037037037035,-0.962962962962963,0
1231,live-the-process,1,2021.0,0.16666666666666666,-0.8333333333333334,0
1232,local-firm,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1233,dress-co-,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1234,suboo,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1235,boramy-viguier,1,2021.0,0.16666666666666666,-0.8333333333333334,0
1236,rochambeau,1,2018.0,0.08333333333333333,-0.9166666666666666,0
1237,somarta,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1238,tze-goh,1,2012.0,0.041666666666666664,-0.9583333333333334,0
1239,roopa-pemmaraju,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1240,rena-lange,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1241,r-ii-s,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1242,phoenix-keating,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1243,victoria-by-victoria-beckham,1,2012.0,0.041666666666666664,-0.9583333333333334,0
1244,veronica-b-vallenes,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1245,perret-schaad,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1246,myrza-de-muynck,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1247,michael-sontag,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1248,apotts,1,2021.1,0.2,-0.8,0
1249,michael-lo-sordo,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1250,astrid-andersen,1,2021.1,0.2,-0.8,0
1251,mercibeaucoup,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1252,lena-hoschek,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1253,laurel,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1254,lala-berlin,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1255,kilian-kerner,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1256,vanishing-elephant,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1257,vladimir-karaleev,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1258,sb47,1,2014.1,0.05263157894736842,-0.9473684210526316,0
1259,bodkin,1,2011.1,0.04,-0.96,0
1260,rad-hourani,1,2010.1,0.037037037037037035,-0.962962962962963,0
1261,ellen-tracy,1,2000.0,0.020833333333333332,-0.9791666666666666,0
1262,gant-by-michael-bastian,1,2011.0,0.038461538461538464,-0.9615384615384616,0
1263,byblos,1,2000.0,0.020833333333333332,-0.9791666666666666,0
1264,gauntlett-cheng,1,2020.0,0.125,-0.875,0
1265,ghost,1,1999.1,0.02040816326530612,-0.9795918367346939,0
1266,crippen,1,2014.1,0.05263157894736842,-0.9473684210526316,0
1267,hannah-marshall,1,2011.0,0.038461538461538464,-0.9615384615384616,0
1268,tommy,1,2011.0,0.038461538461538464,-0.9615384615384616,0
1269,palmiers-du-mal,1,2020.0,0.125,-0.875,0
1270,philip-treacy,1,1997.1,0.018867924528301886,-0.9811320754716981,0
1271,dax-gabler,1,2011.1,0.04,-0.96,0
1272,we-are-handsome,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1273,piece-d-anarchive,1,2014.0,0.05,-0.95,0
1274,mm6-maison-martin-margiela-x-opening-ceremony,1,2011.1,0.04,-0.96,0
1275,mark-mcnairy-new-amsterdam,1,2014.0,0.05,-0.95,0
1276,francesc-by-frank-tell,1,2012.0,0.041666666666666664,-0.9583333333333334,0
1277,believe-in-better,1,2020.1,0.14285714285714285,-0.8571428571428572,0
1278,christian-francis-roth,1,1993.0,0.016129032258064516,-0.9838709677419355,0
1279,gabrielle-greiss,1,2012.0,0.041666666666666664,-0.9583333333333334,0
1280,1-piu-1-uguale-3,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1281,zambesi,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1282,wood-wood,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1283,whyred,1,2013.1,0.047619047619047616,-0.9523809523809523,0
1284,tove,1,2023.1,1.0,0.0,1
