word,label
Ribbed,FEATURE
Woven,FEATURE
Embroidered,FEATURE
Appliqued,FEATURE
Ruffled,FEATURE
Fringed,FEATURE
Layered,FEATURE
Pleated,FEATURE
Gathered,FEATURE
Slit,FEATURE
Flared,FEATURE
A-line,FEATURE
Mermaid,FEATURE
Empire,FEATURE
Drop,FEATURE
Peplum,FEATURE
High-waisted,FEATURE
Low-waisted,FEATURE
Belted,FEATURE
Buttoned,FEATURE
Zipped,FEATURE
Laced,FEATURE
Corseted,FEATURE
Wrap,FEATURE
Off-the-shoulder,FEATURE
One-shoulder,FEATURE
Halterneck,FEATURE
Strapless,FEATURE
Collared,FEATURE
Turtleneck,FEATURE
Scoop-neck,FEATURE
V-neck,FEATURE
Boat-neck,FEATURE
Cowl-neck,FEATURE
Mock-neck,FEATURE
Mandarin,FEATURE
Peter Pan,FEATURE
Shawl,FEATURE
Notched,FEATURE
Lapel,FEATURE
Bell,FEATURE
Cap,FEATURE
Dolman,FEATURE
Kimono,FEATURE
Bishop,FEATURE
Raglan,FEATURE
Lantern,FEATURE
Flounce,FEATURE
Tiered,FEATURE
Cuffed,FEATURE
Tapered,FEATURE
Bell-bottom,FEATURE
Straight-leg,FEATURE
Skinny,FEATURE
Bootcut,FEATURE
Flared,FEATURE
Wide-leg,FEATURE
Culottes,FEATURE
Sleeves,FEATURE
long-sleeve,FEATURE
collar ,FEATURE
T-shirt,GARMENT_TYPE
Shirt,GARMENT_TYPE
Blouse,GARMENT_TYPE
Tank top,GARMENT_TYPE
Polo shirt,GARMENT_TYPE
Sweater,GARMENT_TYPE
Cardigan,GARMENT_TYPE
Hoodie,GARMENT_TYPE
Pullover,GARMENT_TYPE
Tunic,GARMENT_TYPE
Dress,GARMENT_TYPE
Maxi,GARMENT_TYPE
Midi,GARMENT_TYPE
Mini,FEATURE
Cocktail dress,FEATURE
Evening gown,FEATURE
Ball gown,GARMENT_TYPE
Jumpsuit,GARMENT_TYPE
Romper,GARMENT_TYPE
Bodysuit,GARMENT_TYPE
Skirt,GARMENT_TYPE
Mini skirt,GARMENT_TYPE
Midi skirt,GARMENT_TYPE
Maxi skirt,GARMENT_TYPE
Pencil skirt,GARMENT_TYPE
A-line skirt,GARMENT_TYPE
Circle skirt,GARMENT_TYPE
Pleated skirt,GARMENT_TYPE
Wrap skirt,GARMENT_TYPE
Shorts,GARMENT_TYPE
Bermuda,GARMENT_TYPE
Culottes,GARMENT_TYPE
Trousers,GARMENT_TYPE
Jeans,GARMENT_TYPE
Joggers,GARMENT_TYPE
Leggings,GARMENT_TYPE
Capris,GARMENT_TYPE
Palazzo,GARMENT_TYPE
Jeggings,GARMENT_TYPE
Suit,GARMENT_TYPE
Blazer,GARMENT_TYPE
Jacket,GARMENT_TYPE
Coat,GARMENT_TYPE
Trench,GARMENT_TYPE
Parka,GARMENT_TYPE
Peacoat,GARMENT_TYPE
Raincoat,GARMENT_TYPE
Windbreaker,GARMENT_TYPE
Poncho,GARMENT_TYPE
Cape,GARMENT_TYPE
Vest,GARMENT_TYPE
Waistcoat,GARMENT_TYPE
Kimono,GARMENT_TYPE
Robe,GARMENT_TYPE
Kaftan,GARMENT_TYPE
Sarong,GARMENT_TYPE
Lingerie,GARMENT_TYPE
Bra,GARMENT_TYPE
Panties,GARMENT_TYPE
Briefs,GARMENT_TYPE
Thongs,GARMENT_TYPE
Boyshorts,GARMENT_TYPE
Camisole,GARMENT_TYPE
Chemise,GARMENT_TYPE
Nightgown,GARMENT_TYPE
Pajamas,GARMENT_TYPE
Socks,GARMENT_TYPE
Stockings,GARMENT_TYPE
Tights,GARMENT_TYPE
Legwarmers,GARMENT_TYPE
Shapewear,GARMENT_TYPE
Corset,GARMENT_TYPE
Bodice,GARMENT_TYPE
Girdle,GARMENT_TYPE
Bustier,GARMENT_TYPE
Swimwear,GARMENT_TYPE
Bikinis,GARMENT_TYPE
Classic,STYLE
Vintage,STYLE
Retro,STYLE
Modern,STYLE
