,word,label
276,stretchy,FEATURE
277,non-stretchy,FEATURE
278,shiny,FEATURE
279,matte,FEATURE
280,sparkly,FEATURE
281,glittery,FEATURE
282,metallic,FEATURE
283,embellished,FEATURE
284,beaded,FEATURE
285,sequined,FEATURE
286,printed,FEATURE
287,patterned,FEATURE
288,solid,FEATURE
289,striped,FEATURE
290,dot,FEATURE
291,floral,FEATURE
292,geometric,FEATURE
293,plaid,FEATURE
294,checkered,FEATURE
295,textured,FEATURE
296,smooth,FEATURE
297,ribbed,FEATURE
298,woven,FEATURE
299,embroidered,FEATURE
300,appliqued,FEATURE
301,ruffled,FEATURE
302,fringed,FEATURE
303,layered,FEATURE
304,pleated,FEATURE
305,gathered,FEATURE
306,slit,FEATURE
307,flared,FEATURE
308,a-line,FEATURE
309,mermaid,FEATURE
310,empire,FEATURE
311,drop,FEATURE
312,peplum,FEATURE
313,high-waisted,FEATURE
314,low-waisted,FEATURE
315,belted,FEATURE
316,buttoned,FEATURE
317,zipped,FEATURE
318,laced,FEATURE
319,corseted,FEATURE
320,wrap,FEATURE
321,off-the-shoulder,FEATURE
322,one-shoulder,FEATURE
323,halterneck,FEATURE
324,strapless,FEATURE
325,collared,FEATURE
326,turtleneck,FEATURE
327,scoop-neck,FEATURE
328,v-neck,FEATURE
329,boat-neck,FEATURE
330,cowl-neck,FEATURE
331,mock-neck,FEATURE
332,mandarin,FEATURE
333,peter pan,FEATURE
334,shawl,FEATURE
335,notched,FEATURE
336,lapel,FEATURE
337,bell,FEATURE
338,cap,FEATURE
339,dolman,FEATURE
340,kimono,FEATURE
341,bishop,FEATURE
342,raglan,FEATURE
343,lantern,FEATURE
344,flounce,FEATURE
345,tiered,FEATURE
346,cuffed,FEATURE
347,tapered,FEATURE
348,bell-bottom,FEATURE
349,straight-leg,FEATURE
350,skinny,FEATURE
351,bootcut,FEATURE
353,wide-leg,FEATURE
354,culottes,FEATURE
355,sleeves,FEATURE
356,long-sleeve,FEATURE
357,collar ,FEATURE
358,t-shirt,GARMENT_TYPE
359,shirt,GARMENT_TYPE
360,blouse,GARMENT_TYPE
361,tank top,GARMENT_TYPE
362,polo shirt,GARMENT_TYPE
363,sweater,GARMENT_TYPE
364,cardigan,GARMENT_TYPE
365,hoodie,GARMENT_TYPE
366,pullover,GARMENT_TYPE
367,tunic,GARMENT_TYPE
368,dress,GARMENT_TYPE
369,maxi,GARMENT_TYPE
370,midi,GARMENT_TYPE
371,mini,FEATURE
372,cocktail dress,FEATURE
373,evening gown,FEATURE
374,ball gown,GARMENT_TYPE
375,jumpsuit,GARMENT_TYPE
376,romper,GARMENT_TYPE
377,bodysuit,GARMENT_TYPE
378,skirt,GARMENT_TYPE
379,mini skirt,GARMENT_TYPE
380,midi skirt,GARMENT_TYPE
381,maxi skirt,GARMENT_TYPE
382,pencil skirt,GARMENT_TYPE
383,a-line skirt,GARMENT_TYPE
384,circle skirt,GARMENT_TYPE
385,pleated skirt,GARMENT_TYPE
386,wrap skirt,GARMENT_TYPE
387,shorts,GARMENT_TYPE
388,bermuda,GARMENT_TYPE
390,trousers,GARMENT_TYPE
391,jeans,GARMENT_TYPE
392,joggers,GARMENT_TYPE
393,leggings,GARMENT_TYPE
394,capris,GARMENT_TYPE
395,palazzo,GARMENT_TYPE
396,jeggings,GARMENT_TYPE
397,suit,GARMENT_TYPE
398,blazer,GARMENT_TYPE
399,jacket,GARMENT_TYPE
400,coat,GARMENT_TYPE
401,trench,GARMENT_TYPE
402,parka,GARMENT_TYPE
403,peacoat,GARMENT_TYPE
404,raincoat,GARMENT_TYPE
405,windbreaker,GARMENT_TYPE
406,poncho,GARMENT_TYPE
407,cape,GARMENT_TYPE
408,vest,GARMENT_TYPE
409,waistcoat,GARMENT_TYPE
411,robe,GARMENT_TYPE
412,kaftan,GARMENT_TYPE
413,sarong,GARMENT_TYPE
414,lingerie,GARMENT_TYPE
415,bra,GARMENT_TYPE
416,panties,GARMENT_TYPE
417,briefs,GARMENT_TYPE
418,thongs,GARMENT_TYPE
419,boyshorts,GARMENT_TYPE
420,camisole,GARMENT_TYPE
421,chemise,GARMENT_TYPE
422,nightgown,GARMENT_TYPE
423,pajamas,GARMENT_TYPE
424,socks,GARMENT_TYPE
425,stockings,GARMENT_TYPE
426,tights,GARMENT_TYPE
427,legwarmers,GARMENT_TYPE
428,shapewear,GARMENT_TYPE
429,corset,GARMENT_TYPE
430,bodice,GARMENT_TYPE
431,girdle,GARMENT_TYPE
432,bustier,GARMENT_TYPE
433,swimwear,GARMENT_TYPE
434,bikinis,GARMENT_TYPE
435,classic,STYLE
436,vintage,STYLE
437,retro,STYLE
438,modern,STYLE
439,contemporary,STYLE
440,minimalist,STYLE
441,bohemian,STYLE
442,romantic,STYLE
443,edgy,STYLE
444,avant-garde,STYLE
445,urban,STYLE
446,streetwear,STYLE
447,preppy,STYLE
448,sporty,STYLE
449,casual,STYLE
450,formal,STYLE
451,elegant,STYLE
452,sophisticated,STYLE
453,glamorous,STYLE
454,chic,STYLE
455,eclectic,STYLE
456,artistic,STYLE
457,ethereal,STYLE
458,whimsical,STYLE
459,dramatic,STYLE
460,punk,STYLE
461,grunge,STYLE
462,gothic,STYLE
463,victorian,STYLE
464,baroque,STYLE
465,renaissance,STYLE
466,folk,STYLE
467,tribal,STYLE
468,nautical,STYLE
469,military,STYLE
470,safari,STYLE
471,boho-chic,STYLE
472,hipster,STYLE
473,nomadic,STYLE
474,tropical,STYLE
475,desert,STYLE
476,nordic,STYLE
477,japanese,STYLE
478,indian,STYLE
479,african,STYLE
480,western,STYLE
481,rockabilly,STYLE
482,steampunk,STYLE
483,cyberpunk,STYLE
484,futuristic,STYLE
485,rustic,STYLE
486,country,STYLE
487,cottagecore,STYLE
488,shabby chic,STYLE
489,industrial,STYLE
490,scandinavian,STYLE
491,mid-century modern,STYLE
492,art deco,STYLE
